start,end
0.191500000,0.079500000
0.197500000,0.073500000
0.193000000,0.101000000
0.193500000,0.910500000
0.195500000,0.080500000
0.216000000,0.079000000
0.200500000,0.083000000
0.201500000,0.089500000
0.211000000,0.069000000
0.201500000,0.081500000
0.201000000,0.080000000
0.204000000,0.100500000
0.192000000,0.090500000
0.194500000,0.078500000
0.202000000,0.080500000
0.191500000,0.087500000
0.196000000,0.923500000
0.208000000,0.078500000
0.189500000,0.898000000
0.191000000,0.078000000
0.197500000,0.092000000
0.185000000,0.099000000
0.195000000,0.091000000
0.209000000,0.080500000
0.210000000,0.092000000
0.196500000,0.097000000
0.189000000,0.084500000
0.209500000,0.072000000
0.194000000,0.089500000
0.205000000,0.092500000
0.201000000,0.094000000
0.192000000,0.103500000
0.197500000,0.077000000
0.200000000,0.086500000
0.198000000,0.070000000
0.183000000,0.100000000
0.200000000,0.087500000
0.196000000,0.085500000
0.190500000,0.095500000
0.197500000,0.089500000
0.202500000,0.092000000
0.201500000,0.084500000
0.187500000,0.084000000
0.201500000,0.079500000
0.199500000,0.086500000
0.177500000,0.081500000
0.207000000,0.914000000
0.203000000,0.086000000
0.200000000,0.091500000
0.202000000,0.081000000
0.211500000,0.084000000
0.201000000,0.091000000
0.183500000,0.107000000
0.206000000,0.084000000
0.205500000,0.081500000
0.213000000,0.093500000
0.193000000,0.092000000
0.201500000,0.083500000
0.204500000,0.911000000
0.201000000,0.079500000
0.193000000,0.089000000
0.198000000,0.080500000
0.198000000,0.078500000
0.187000000,0.080000000
0.195000000,0.085500000
0.211000000,0.088500000
0.209500000,0.087500000
0.194500000,0.080500000
0.208000000,0.091500000
0.198500000,0.102500000
0.193000000,0.095000000
0.206500000,0.076000000
0.209000000,0.106500000
0.201000000,0.083000000
0.190000000,0.082000000
0.201500000,0.082500000
0.195000000,0.093000000
0.201500000,0.091000000
0.212000000,0.101000000
0.191000000,0.079500000
0.192000000,0.908000000
0.198000000,0.078000000
0.216500000,0.916500000
0.198500000,0.104000000
0.189500000,0.917500000
0.195000000,0.070500000
0.199500000,0.090000000
0.195000000,0.086500000
0.203500000,0.612500000
0.199500000,0.089500000
0.207000000,0.091000000
0.195500000,0.087500000
0.186500000,0.098500000
0.190500000,0.078000000
0.200000000,0.079000000
0.192000000,0.101500000
0.202000000,0.103500000
0.204000000,0.089500000
0.194500000,0.086000000
0.208000000,0.086500000
0.201500000,0.071500000
0.208500000,0.081500000
0.210500000,0.098000000
0.189500000,0.076000000
0.190000000,0.090000000
0.205500000,0.095000000
0.189000000,0.080000000
0.213500000,0.086000000
0.194500000,0.920000000
0.205500000,0.086500000
0.177500000,0.090500000
0.197000000,0.915500000
0.202000000,0.094000000
0.193500000,0.081000000
0.191000000,0.099000000
0.196500000,0.099500000
0.196000000,0.911500000
0.208500000,0.099000000
0.200500000,0.903000000
0.208000000,0.096500000
0.194000000,0.077000000
0.215500000,0.092500000
0.201500000,0.087000000
0.195500000,0.917000000
0.188500000,0.086000000
0.200000000,0.076500000
0.198500000,0.080500000
0.207500000,0.094500000
0.188500000,0.086000000
0.188500000,0.103500000
0.200000000,0.096000000
0.193000000,0.091000000
0.201000000,0.071000000
0.200500000,0.105000000
0.218500000,0.900500000
0.202500000,0.080000000
0.189000000,0.074000000
0.201500000,0.074500000
0.201000000,0.082500000
0.189500000,0.926500000
0.196500000,0.081500000
0.210000000,0.080000000
0.202000000,0.089500000
0.202500000,0.103500000
0.200000000,0.094000000
0.206500000,0.092000000
0.209500000,0.098000000
0.204000000,0.083000000
0.194000000,0.090500000
0.192000000,0.080500000
0.188500000,0.074500000
0.209000000,0.915500000
0.196500000,0.082000000
0.201500000,0.099000000
0.200000000,0.089000000
0.188000000,0.096000000
0.208500000,0.091000000
0.202500000,0.086500000
0.211500000,0.895000000
0.193000000,0.082500000
0.209500000,0.084000000
0.185000000,0.088000000
0.201000000,0.919500000
0.193500000,0.062500000
0.187500000,0.094000000
0.202000000,0.083500000
0.180500000,0.094500000
0.211500000,0.092000000
0.201500000,0.087500000
0.181500000,0.098000000
0.195500000,0.094000000
0.196500000,0.094000000
0.201000000,0.901500000
0.208000000,0.069500000
0.192500000,0.091000000
0.209500000,0.084500000
0.209500000,0.079000000
0.197500000,0.095000000
0.195500000,0.077500000
0.214500000,0.099000000
0.198000000,0.098000000
0.202500000,0.107000000
0.201000000,0.899500000
0.192000000,0.080500000
0.199500000,0.086500000
0.198000000,0.097000000
0.191000000,0.912500000
0.193500000,0.081500000
0.203500000,0.918000000
0.194500000,0.099000000
0.206500000,0.093000000
0.188000000,0.090000000
0.208000000,0.911500000
0.186500000,0.086000000
0.193500000,0.460000000
0.215500000,0.922000000
0.207000000,0.082000000
0.213500000,0.071000000
0.200000000,0.084500000
0.203500000,0.088500000
0.210000000,0.077000000
0.218500000,0.093000000
0.203500000,0.483000000
0.200000000,0.090000000
0.184000000,0.081500000
0.206500000,0.093000000
0.195500000,0.092000000
0.207500000,0.076000000
0.196500000,0.
0.201500000,0.096500000
0.188000000,0.
0.192000000,0.088500000
0.200500000,0.080000000
0.193500000,0.081000000
0.202500000,0.0
